"figure","authenticity_n","selling_price","sales","condition","character_type","year"
"2-1B",1,63.0,14.7,loose_figure,droid,"2016"
"2-1B",1,45.37,14.7,loose_figure,droid,"2016"
"2-1B",1,99.99,14.7,loose_figure,droid,"2016"
"2-1B",1,34.6,14.7,loose_figure,droid,"2016"
"2-1B",1,54.87,14.7,loose_figure,droid,"2016"
"2-1B",1,43.89,14.7,loose_figure,droid,"2016"
"2-1B",1,110.02,10.1,loose_figure,droid,"2017"
"2-1B",1,71.25,10.1,loose_figure,droid,"2017"
"2-1B",1,65.0,10.1,loose_figure,droid,"2017"
"2-1B",1,67.0,10.1,loose_figure,droid,"2017"
"2-1B",1,58.01,10.1,loose_figure,droid,"2017"
"2-1B",1,54.89,10.1,loose_figure,droid,"2017"
"2-1B",1,46.0,10.1,loose_figure,droid,"2017"
"2-1B",1,84.96,10.1,loose_figure,droid,"2017"
"2-1B",1,40.17,10.1,loose_figure,droid,"2017"
"2-1B",1,61.0,10.1,loose_figure,droid,"2017"
"2-1B",1,306.01,9.7,loose_figure,droid,"2018"
"2-1B",1,53.62,9.7,loose_figure,droid,"2018"
"2-1B",1,89.0,9.7,loose_figure,droid,"2018"
"2-1B",1,104.03,9.7,loose_figure,droid,"2018"
"2-1B",1,51.45,9.7,loose_figure,droid,"2018"
"2-1B",1,75.0,9.7,loose_figure,droid,"2018"
"2-1B",1,63.38,9.7,loose_figure,droid,"2018"
"2-1B",1,44.06,9.7,loose_figure,droid,"2018"
"2-1B",1,69.89,9.7,loose_figure,droid,"2018"
"2-1B",1,78.59,9.7,loose_figure,droid,"2018"
"2-1B",1,130.0,7.6,loose_figure,droid,"2019"
"2-1B",1,82.69,7.6,loose_figure,droid,"2019"
"2-1B",1,71.29,7.6,loose_figure,droid,"2019"
"2-1B",1,66.0,7.6,loose_figure,droid,"2019"
"2-1B",1,78.71,7.6,loose_figure,droid,"2019"
"2-1B",1,41.31,7.6,loose_figure,droid,"2019"
"2-1B",1,201.11,7.6,loose_figure,droid,"2019"
"2-1B",1,59.04,7.6,loose_figure,droid,"2019"
"2-1B",1,48.48,7.6,loose_figure,droid,"2019"
"2-1B",1,43.78,7.6,loose_figure,droid,"2019"
"2-1B",1,131.5,8.6,loose_figure,droid,"2020"
"2-1B",1,98.0,8.6,loose_figure,droid,"2020"
"2-1B",1,61.0,8.6,loose_figure,droid,"2020"
"2-1B",1,57.0,8.6,loose_figure,droid,"2020"
"2-1B",1,63.29,8.6,loose_figure,droid,"2020"
"2-1B",1,241.4,8.6,loose_figure,droid,"2020"
"2-1B",1,84.17,8.6,loose_figure,droid,"2020"
"2-1B",1,93.15,8.6,loose_figure,droid,"2020"
"2-1B",1,68.96,8.6,loose_figure,droid,"2020"
"2-1B",1,47.86,8.6,loose_figure,droid,"2020"
"2-1B",1,77.0,10.8,loose_figure,droid,"2021"
"2-1B",1,153.51,10.8,loose_figure,droid,"2021"
"2-1B",1,110.0,10.8,loose_figure,droid,"2021"
"2-1B",1,102.5,10.8,loose_figure,droid,"2021"
"2-1B",1,332.76,10.8,loose_figure,droid,"2021"
"2-1B",1,125.0,10.8,loose_figure,droid,"2021"
"2-1B",1,94.0,10.8,loose_figure,droid,"2021"
"2-1B",1,115.0,10.8,loose_figure,droid,"2021"
"2-1B",1,128.0,10.8,loose_figure,droid,"2021"
"2-1B",1,88.9,10.8,loose_figure,droid,"2021"
"2-1B",1,136.5,17.4,loose_figure,droid,"2022"
"2-1B",1,83.03,17.4,loose_figure,droid,"2022"
"2-1B",1,94.5,17.4,loose_figure,droid,"2022"
"2-1B",1,465.0,17.4,loose_figure,droid,"2022"
"2-1B",1,73.71,17.4,loose_figure,droid,"2022"
